NUMBER0,Supply_WSF_IS_Num,Supply Facility,Supply ID,Supply Type Code,D_SOURCE_FLAG,TREATMENT_STAT_CD,WS Activity Status,ACTIVITY_STATUS_CD,Supply FedID,Receiving_WSF_IS_Num,Receiving Facility,Receiving ID,Receiving Type Code,Receiving Activity Status,Receiving FedID,TINWSFF_IS_NUMBER,TINWSYS_IS_NUMBER,Fed Type
CA0103039,17102,WELL 04,004,WL,Y,,I,I,17102,6583,WELL 04 - TREATED - INACTIVE,005,TP,I,6583,6904,2,NP
CA0103040,24716,COMBINED TREATED ENTRY POINT,007,SS,N,,A,A,24716,24717,DISTRIBUTION SYSTEM,DST,DS,A,24717,13831,3,C
CA0103040,24718,UPPER SPRING,001,SP,Y,N,A,A,24718,24716,COMBINED TREATED ENTRY POINT,007,SS,A,24716,13828,3,C
CA0103040,24719,CISTERN SPRING,002,SP,Y,N,A,A,24719,24716,COMBINED TREATED ENTRY POINT,007,SS,A,24716,13829,3,C
CA0103040,24720,LOWER SPRING,003,SP,Y,N,A,A,24720,24716,COMBINED TREATED ENTRY POINT,007,SS,A,24716,13830,3,C
CA0103041,1647,WELLHEAD CHLORINATION,002,TP,N,,A,A,1647,24721,DISTRIBUTION SYSTEM,DST,DS,A,24721,22640,4,C
CA0103041,12346,WELL 01,001,WL,Y,T,A,A,12346,1647,WELLHEAD CHLORINATION,002,TP,A,1647,1667,4,C
CA0103041,65859,EBMUD CONNECTION,003,CC,Y,T,A,A,65981,24721,DISTRIBUTION SYSTEM,DST,DS,A,24721,22639,4,C
CA0104010,1646,BLENDING TANK,006,TP,N,,I,I,1646,24728,DISTRIBUTION SYSTEM,DST,DS,I,24728,12723,11,NP
CA0104010,12345,WELL 08,003,WL,Y,T,I,I,12345,1646,BLENDING TANK,006,TP,I,1646,8933,11,NP
CA0104010,54916,WELL 9,009,WL,Y,,I,I,54937,1646,BLENDING TANK,006,TP,I,1646,12722,11,NP
CA0105002,1643,WELL 01 - TREATED,002,TP,N,,A,A,1643,24732,DISTRIBUTION SYSTEM,DST,DS,A,24732,22641,15,NC
CA0105002,12704,WELL 01,001,WL,Y,T,A,A,12704,1643,WELL 01 - TREATED,002,TP,A,1643,1664,15,NC
CA0105003,63148,WELL 2,004,WL,Y,N,A,A,63221,1628,WELLHEAD CHLORINATION,002,TP,A,1628,17636,16,NTNC
CA0105003,1628,WELLHEAD CHLORINATION,002,TP,N,,A,A,1628,24733,DISTRIBUTION SYSTEM,DST,DS,A,24733,17637,16,NTNC
CA0105008,53289,SFPUC PLEASANTON WELLS,001,CC,Y,N,A,A,53301,24735,DISTRIBUTION SYSTEM,DST,DS,A,24735,10199,18,C
CA0105009,64658,HAULED WATER,003,NP,Y,,A,A,64758,24736,DISTRIBUTION SYSTEM,DST,DS,A,24736,14732,19,NTNC
CA0105010,1652,DEL VALLE REGIONAL PARK WTP,002,TP,N,,A,A,1652,24738,DISTRIBUTION SYSTEM,DST,DS,A,24738,22643,20,NC
CA0105010,24737,LAKE DEL VALLE,001,IN,Y,T,A,A,24737,1652,DEL VALLE REGIONAL PARK WTP,002,TP,A,1652,1672,20,NC
CA0105012,1637,WELL 01 - TREATED,003,TP,N,,A,A,1637,24740,DISTRIBUTION SYSTEM,DST,DS,A,24740,22644,22,NC
CA0105012,1638,WELL 02 - TREATED,004,TP,N,,A,A,1638,24740,DISTRIBUTION SYSTEM,DST,DS,A,24740,22645,22,NC
CA0105012,12691,WELL 01 (HEADQUARTERS),001,WL,Y,T,A,A,12691,1637,WELL 01 - TREATED,003,TP,A,1637,1658,22,NC
CA0105012,12700,WELL 02 (HIGH VALLEY),002,WL,Y,T,A,A,12700,1638,WELL 02 - TREATED,004,TP,A,1638,1659,22,NC
CA0105013,1636,SPRING 02 CHLORINATION,002,TP,N,,A,A,1636,24741,DISTRIBUTION SYSTEM,DST,DS,A,24741,22646,23,NC
CA0105013,24742,SPRING 02,001,SP,Y,T,A,A,24742,1636,SPRING 02 CHLORINATION,002,TP,A,1636,1657,23,NC
CA0105016,24051,MAIN WELL,001,WL,Y,N,A,A,24051,24745,DISTRIBUTION SYSTEM,DST,DS,A,24745,22647,26,NC
CA0105017,61748,SPRING 01,001,SP,Y,N,A,A,61809,61757,DISTRIBUTION SYSTEM,DST,DS,A,61818,22648,14689,NC
CA0105018,62757,POI WELL,001,WL,Y,N,A,A,62828,62758,DISTRIBUTION SYSTEM,DST,DS,A,62829,13480,14734,NC
CA0105019,64966,WATER WELL-1,001,WL,Y,N,A,A,65074,64967,DISTRIBUTION SYSTEM,DST,DS,A,65075,14857,14943,NC
CA0105020,12696,MAIN WELL,001,WL,Y,T,A,A,12696,1633,MAIN WELL GAC FACILITY,003,TP,A,1633,12769,27,NTNC
CA0105020,12706,AUXILIARY WELL,002,WL,Y,T,A,A,12706,1634,AUXILIARY WELL CHLORINATION FACILITY,004,TP,A,1634,1655,27,NTNC
CA0105020,1634,AUXILIARY WELL CHLORINATION FACILITY,004,TP,N,,A,A,1634,24746,DISTRIBUTION SYSTEM,DST,DS,A,24746,12771,27,NTNC
CA0105020,1633,MAIN WELL GAC FACILITY,003,TP,N,,A,A,1633,24746,DISTRIBUTION SYSTEM,DST,DS,A,24746,12770,27,NTNC
CA0110001,24753,SOUTH BAY AQUEDUCT,030,IN,Y,T,A,A,24753,1632,WATER TREATMENT PLANT 2,040,TP,A,1632,1653,29,C
CA0110001,24021,FARWELL WELL,050,WL,Y,T,A,A,24021,1664,NEWARK DESALINATION FACILITY,053,TP,A,1664,10734,29,C
CA0110001,12721,PERALTA-TYSON WELL 03,021,WL,Y,T,A,A,12721,1630,PERALTA-TYSON BLENDING FACILITY,038,TP,A,1630,1651,29,C
CA0110001,12723,MOWRY WELL 03,010,WL,Y,T,A,A,12723,1630,PERALTA-TYSON BLENDING FACILITY,038,TP,A,1630,1652,29,C
CA0110001,12715,MOWRY WELL 04,011,WL,Y,T,A,A,12715,1630,PERALTA-TYSON BLENDING FACILITY,038,TP,A,1630,1646,29,C
CA0110001,24020,BELLFLOWER WELL,049,WL,Y,T,A,A,24020,1664,NEWARK DESALINATION FACILITY,053,TP,A,1664,10733,29,C
CA0110001,12719,PERALTA-TYSON WELL 01,019,WL,Y,T,A,A,12719,1630,PERALTA-TYSON BLENDING FACILITY,038,TP,A,1630,1649,29,C
CA0110001,24372,WHIPPLE WELL - STANDBY,035,WL,Y,N,A,A,24372,24748,DISTRIBUTION SYSTEM,DST,DS,A,24748,22655,29,C
CA0110001,24390,NURSERY - STANDBY,016,WL,Y,N,A,A,24390,24748,DISTRIBUTION SYSTEM,DST,DS,A,24748,22651,29,C
CA0110001,24751,SF TURNOUT - CENTRAL/CHERRY,027,CC,Y,T,A,A,24751,24748,DISTRIBUTION SYSTEM,DST,DS,A,24748,22653,29,C
CA0110001,24753,SOUTH BAY AQUEDUCT,030,IN,Y,T,A,A,24753,1629,MISSION SAN JOSE WTP,015,TP,A,1629,1636,29,C
CA0110001,54912,LAKE DEL VALLE RESERVOIR,051,RS,Y,T,A,A,54932,24753,SOUTH BAY AQUEDUCT,030,IN,A,24753,11256,29,C
CA0110001,12716,PERALTA-TYSON WELL 05,023,WL,Y,T,A,A,12716,1630,PERALTA-TYSON BLENDING FACILITY,038,TP,A,1630,1647,29,C
CA0110001,12714,PERALTA-TYSON WELL 06,024,WL,Y,T,A,A,12714,1630,PERALTA-TYSON BLENDING FACILITY,038,TP,A,1630,1645,29,C
CA0110001,24752,SF TURNOUT AT PT BLENDING FACILITY (SF1),041,CC,Y,T,A,A,24752,1630,PERALTA-TYSON BLENDING FACILITY,038,TP,A,1630,10876,29,C
CA0110001,1632,WATER TREATMENT PLANT 2,040,TP,N,,A,A,1632,24748,DISTRIBUTION SYSTEM,DST,DS,A,24748,22654,29,C
CA0110001,12720,PERALTA-TYSON WELL 02,020,WL,Y,T,A,A,12720,1630,PERALTA-TYSON BLENDING FACILITY,038,TP,A,1630,1650,29,C
CA0110001,12713,MOWRY WELL 02,009,WL,Y,T,A,A,12713,1630,PERALTA-TYSON BLENDING FACILITY,038,TP,A,1630,1644,29,C
CA0110001,1630,PERALTA-TYSON BLENDING FACILITY,038,TP,N,,A,A,1630,24748,DISTRIBUTION SYSTEM,DST,DS,A,24748,22652,29,C
CA0110001,1664,NEWARK DESALINATION FACILITY,053,TP,N,,A,A,1664,24748,DISTRIBUTION SYSTEM,DST,DS,A,24748,22650,29,C
CA0110001,12689,PERALTA TYSON WELL 8,044,WL,Y,T,A,A,12689,1630,PERALTA-TYSON BLENDING FACILITY,038,TP,A,1630,1637,29,C
CA0110001,12692,PERALTA-TYSON WELL 07,025,WL,Y,T,A,A,12692,1630,PERALTA-TYSON BLENDING FACILITY,038,TP,A,1630,1638,29,C
CA0110001,12693,MOWRY WELL 07,036,WL,Y,T,A,A,12693,1630,PERALTA-TYSON BLENDING FACILITY,038,TP,A,1630,1639,29,C
CA0110001,12694,MOWRY WELL 08,037,WL,Y,T,A,A,12694,1630,PERALTA-TYSON BLENDING FACILITY,038,TP,A,1630,1640,29,C
CA0110001,12707,MOWRY WELL 06,013,WL,Y,T,A,A,12707,1630,PERALTA-TYSON BLENDING FACILITY,038,TP,A,1630,1642,29,C
CA0110001,12708,CEDAR WELL 01,045,WL,Y,T,A,A,12708,1664,NEWARK DESALINATION FACILITY,053,TP,A,1664,9822,29,C
CA0110001,12709,CEDAR WELL 02,046,WL,Y,T,A,A,12709,1664,NEWARK DESALINATION FACILITY,053,TP,A,1664,9823,29,C
CA0110001,12710,DARVON WELL 01,047,WL,Y,T,A,A,12710,1664,NEWARK DESALINATION FACILITY,053,TP,A,1664,9824,29,C
CA0110001,12712,MOWRY WELL 01,008,WL,Y,T,A,A,12712,1630,PERALTA-TYSON BLENDING FACILITY,038,TP,A,1630,1643,29,C
CA0110001,1629,MISSION SAN JOSE WTP,015,TP,N,,A,A,1629,24748,DISTRIBUTION SYSTEM,DST,DS,A,24748,22649,29,C
CA0110001,12711,DARVON WELL 02,048,WL,Y,T,A,A,12711,1664,NEWARK DESALINATION FACILITY,053,TP,A,1664,9825,29,C
CA0110001,12699,PERALTA-TYSON WELL 04,022,WL,Y,T,A,A,12699,1630,PERALTA-TYSON BLENDING FACILITY,038,TP,A,1630,1641,29,C
CA0110003,24756,PATTERSON PASS WTP CONNECTION TO ZONE 7,002,CC,Y,T,A,A,24756,1663,STATION 10 GAC AND BLENDING FACILITY,022,TP,A,1663,12754,30,C
CA0110003,12670,WELL 14-01,010,WL,Y,T,A,A,12670,1653,STATION 14 GAC TREATMENT FACILITY,025,TP,A,1653,12748,30,C
CA0110003,12697,WELL 19-01,013,WL,Y,T,A,A,12697,5858,STATION 19 TREATMENT FACILITY,019,TP,A,5858,12749,30,C
CA0110003,17146,WELL 24-01,015,WL,Y,T,A,A,17146,1669,STATION 24 CHLORAMINATION FACILITY,028,TP,A,1669,1690,30,C
CA0110003,17160,WELL 15-01,011,WL,Y,T,A,A,17160,1673,WELL 15 CHLORINATION FACILITY,032,TP,A,1673,1694,30,C
CA0110003,17165,WELL 09-01,007,WL,Y,T,A,A,17165,1666,STATION 9 TREATMENT FACILITY,020,TP,A,1666,12744,30,C
CA0110003,24754,DEL VALLE WTP CONNECTION TO ZONE 7,001,CC,Y,T,A,A,24754,1663,STATION 10 GAC AND BLENDING FACILITY,022,TP,A,1663,12753,30,C
CA0110003,24754,DEL VALLE WTP CONNECTION TO ZONE 7,001,CC,Y,T,A,A,24754,1666,STATION 9 TREATMENT FACILITY,020,TP,A,1666,12752,30,C
CA0110003,24756,PATTERSON PASS WTP CONNECTION TO ZONE 7,002,CC,Y,T,A,A,24756,5858,STATION 19 TREATMENT FACILITY,019,TP,A,5858,12767,30,C
CA0110003,24754,DEL VALLE WTP CONNECTION TO ZONE 7,001,CC,Y,T,A,A,24754,24755,DISTRIBUTION SYSTEM,DST,DS,A,24755,12750,30,C
CA0110003,24756,PATTERSON PASS WTP CONNECTION TO ZONE 7,002,CC,Y,T,A,A,24756,1666,STATION 9 TREATMENT FACILITY,020,TP,A,1666,8936,30,C
CA0110003,12668,WELL 10-01,008,WL,Y,T,A,A,12668,1663,STATION 10 GAC AND BLENDING FACILITY,022,TP,A,1663,12745,30,C
CA0110003,5858,STATION 19 TREATMENT FACILITY,019,TP,N,,A,A,5858,24755,DISTRIBUTION SYSTEM,DST,DS,A,24755,12756,30,C
CA0110003,24756,PATTERSON PASS WTP CONNECTION TO ZONE 7,002,CC,Y,T,A,A,24756,24755,DISTRIBUTION SYSTEM,DST,DS,A,24755,12751,30,C
CA0110003,24754,DEL VALLE WTP CONNECTION TO ZONE 7,001,CC,Y,T,A,A,24754,5858,STATION 19 TREATMENT FACILITY,019,TP,A,5858,12766,30,C
CA0110003,1653,STATION 14 GAC TREATMENT FACILITY,025,TP,N,,A,A,1653,24755,DISTRIBUTION SYSTEM,DST,DS,A,24755,12759,30,C
CA0110003,12664,WELL 20-01,014,WL,Y,T,A,A,12664,1670,STATION 20 CHLORAMINATION FACILITY,029,TP,A,1670,1691,30,C
CA0110003,1641,STATION 8 CHLORINATION FACILITY,036,TP,N,,A,A,1641,24755,DISTRIBUTION SYSTEM,DST,DS,A,24755,12765,30,C
CA0110003,12667,WELL 08-01,006,WL,Y,T,A,A,12667,1641,STATION 8 CHLORINATION FACILITY,036,TP,A,1641,1662,30,C
CA0110003,1663,STATION 10 GAC AND BLENDING FACILITY,022,TP,N,,A,A,1663,24755,DISTRIBUTION SYSTEM,DST,DS,A,24755,12758,30,C
CA0110003,1666,STATION 9 TREATMENT FACILITY,020,TP,N,,A,A,1666,24755,DISTRIBUTION SYSTEM,DST,DS,A,24755,12757,30,C
CA0110003,1667,STATION 31 CHLORAMINATION FACILITY,026,TP,N,,A,A,1667,24755,DISTRIBUTION SYSTEM,DST,DS,A,24755,12760,30,C
CA0110003,1669,STATION 24 CHLORAMINATION FACILITY,028,TP,N,,A,A,1669,24755,DISTRIBUTION SYSTEM,DST,DS,A,24755,12762,30,C
CA0110003,1670,STATION 20 CHLORAMINATION FACILITY,029,TP,N,,A,A,1670,24755,DISTRIBUTION SYSTEM,DST,DS,A,24755,12763,30,C
CA0110003,1673,WELL 15 CHLORINATION FACILITY,032,TP,N,,A,A,1673,24755,DISTRIBUTION SYSTEM,DST,DS,A,24755,12764,30,C
CA0110003,5857,STATION 18 TREATMENT FACILITY,018,TP,N,,A,A,5857,24755,DISTRIBUTION SYSTEM,DST,DS,A,24755,12755,30,C
CA0110003,12658,WELL 05-01,005,WL,Y,T,A,A,12658,1668,STATION 5 CHLORINATION FACILITY,027,TP,A,1668,1689,30,C
CA0110003,12665,WELL 31-01,021,WL,Y,T,A,A,12665,1667,STATION 31 CHLORAMINATION FACILITY,026,TP,A,1667,1688,30,C
CA0110003,1668,STATION 5 CHLORINATION FACILITY,027,TP,N,,A,A,1668,24755,DISTRIBUTION SYSTEM,DST,DS,A,24755,12761,30,C
CA0110005,54983,FREEPORT REGIONAL WATER PROJECT,022,IN,Y,T,A,A,55005,57633,CCWD EBMUD UNTREATED WATER INTERTIE,023,CC,A,57685,12593,31,C
CA0110005,24763,PARDEE RES-RAW,006,IN,Y,T,A,A,24763,1661,WALNUT CREEK WTP,012,TP,A,1661,1682,31,C
CA0110005,24763,PARDEE RES-RAW,006,IN,Y,T,A,A,24763,57633,CCWD EBMUD UNTREATED WATER INTERTIE,023,CC,A,57685,12592,31,C
CA0110005,24764,SAN PABLO RESERVOIR-SOBRANTE INTAKE-RAW,007,IN,Y,T,A,A,24764,1659,SOBRANTE WTP,009,TP,A,1659,9083,31,C
CA0110005,24764,SAN PABLO RESERVOIR-SOBRANTE INTAKE-RAW,007,IN,Y,T,A,A,24764,1662,SAN PABLO WTP - STANDBY,013,TP,A,1662,1684,31,C
CA0110005,24765,SAN PABLO RESRVOIR-SAN PABLO INTAKE-RAW,008,IN,Y,T,A,A,24765,1662,SAN PABLO WTP - STANDBY,013,TP,A,1662,1685,31,C
CA0110005,24766,UPPER SAN LEANDRO RES,010,IN,Y,T,A,A,24766,1660,UPPER SAN LEANDRO WTP,011,TP,A,1660,1681,31,C
CA0110005,24763,PARDEE RES-RAW,006,IN,Y,T,A,A,24763,1658,ORINDA WTP,005,TP,A,1658,1680,31,C
CA0110005,54983,FREEPORT REGIONAL WATER PROJECT,022,IN,Y,T,A,A,55005,24764,SAN PABLO RESERVOIR-SOBRANTE INTAKE-RAW,007,IN,A,24764,11312,31,C
CA0110005,54983,FREEPORT REGIONAL WATER PROJECT,022,IN,Y,T,A,A,55005,24766,UPPER SAN LEANDRO RES,010,IN,A,24766,11313,31,C
CA0110005,24767,WALNUT CREEK WTP - INTAKE - RAW     XCLD,021,IN,Y,T,A,A,24767,1661,WALNUT CREEK WTP,012,TP,A,1661,1683,31,C
CA0110005,24762,ORINDA WTP - INTAKE - RAW           XCLD,020,IN,Y,T,A,A,24762,1658,ORINDA WTP,005,TP,A,1658,1679,31,C
CA0110005,24761,LAFAYETTE WTP - INTAKE RAW          XCLD,019,IN,Y,T,A,A,24761,1657,LAFAYETTE WTP,004,TP,A,1657,1677,31,C
CA0110005,24760,LAFAYETTE RESERVOIR - STANDBY,003,IN,Y,T,A,A,24760,1657,LAFAYETTE WTP,004,TP,A,1657,1676,31,C
CA0110005,24757,BRIONES RES-RAW,001,IN,Y,N,A,A,24757,1658,ORINDA WTP,005,TP,A,1658,24516,31,C
CA0110005,1662,SAN PABLO WTP - STANDBY,013,TP,N,,A,A,1662,24759,DISTRIBUTION SYSTEM,DST,DS,A,24759,22658,31,C
CA0110005,1661,WALNUT CREEK WTP,012,TP,N,,A,A,1661,24759,DISTRIBUTION SYSTEM,DST,DS,A,24759,22661,31,C
CA0110005,1660,UPPER SAN LEANDRO WTP,011,TP,N,,A,A,1660,24759,DISTRIBUTION SYSTEM,DST,DS,A,24759,22660,31,C
CA0110005,1659,SOBRANTE WTP,009,TP,N,,A,A,1659,24759,DISTRIBUTION SYSTEM,DST,DS,A,24759,22659,31,C
CA0110005,1657,LAFAYETTE WTP,004,TP,N,,A,A,1657,24759,DISTRIBUTION SYSTEM,DST,DS,A,24759,22656,31,C
CA0110005,1658,ORINDA WTP,005,TP,N,,A,A,1658,24759,DISTRIBUTION SYSTEM,DST,DS,A,24759,22657,31,C
CA0110005,57633,CCWD EBMUD UNTREATED WATER INTERTIE,023,CC,Y,,A,A,57685,24764,SAN PABLO RESERVOIR-SOBRANTE INTAKE-RAW,007,IN,A,24764,24518,31,C
CA0110005,24763,PARDEE RES-RAW,006,IN,Y,T,A,A,24763,1657,LAFAYETTE WTP,004,TP,A,1657,1678,31,C
CA0110006,24769,MISSION SAN JOSE TURNOUT - TREATED,001,CC,Y,T,A,A,24769,24768,DISTRIBUTION SYSTEM,DST,DS,A,24768,22662,32,C
CA0110006,24770,NEWARK TURNOUT - TREATED,002,CC,Y,T,A,A,24770,24768,DISTRIBUTION SYSTEM,DST,DS,A,24768,22663,32,C
CA0110006,24670,WELL D - AIRPORT WELL-EMERGENCY STANDBY,006,WL,Y,N,A,A,24670,24768,DISTRIBUTION SYSTEM,DST,DS,A,24768,22667,32,C
CA0110006,24656,WELL A - POLICE STATION-EMERGENCY STANBY,003,WL,Y,N,A,A,24656,24768,DISTRIBUTION SYSTEM,DST,DS,A,24768,22664,32,C
CA0110006,24658,WELL C - PEPSI WELL - EMERGENCY STANDBY,005,WL,Y,N,A,A,24658,24768,DISTRIBUTION SYSTEM,DST,DS,A,24768,22666,32,C
CA0110006,24657,WELL B - HESPERIAN/INDUSTRIAL-EMRGY STNB,004,WL,Y,N,A,A,24657,24768,DISTRIBUTION SYSTEM,DST,DS,A,24768,22665,32,C
CA0110006,24660,WELL E - EMERGENCY STANDBY,007,WL,Y,N,A,A,24660,24768,DISTRIBUTION SYSTEM,DST,DS,A,24768,22668,32,C
CA0110008,1502,WELL 5 & 6  CHLORAMINE/FLUORIDE,006,TP,N,,A,A,1502,24772,DISTRIBUTION SYSTEM,DST,DS,A,24772,22671,33,C
CA0110008,1656,WELL 08 CHLORAMINATION FACILITY,009,TP,N,,A,A,1656,24772,DISTRIBUTION SYSTEM,DST,DS,A,24772,22670,33,C
CA0110008,12661,WELL 05,001,WL,Y,T,A,A,12661,1502,WELL 5 & 6  CHLORAMINE/FLUORIDE,006,TP,A,1502,1463,33,C
CA0110008,12662,WELL 06,002,WL,Y,T,A,A,12662,1502,WELL 5 & 6  CHLORAMINE/FLUORIDE,006,TP,A,1502,12738,33,C
CA0110008,12663,WELL 08,004,WL,Y,T,A,A,12663,1656,WELL 08 CHLORAMINATION FACILITY,009,TP,A,1656,1675,33,C
CA0110008,24771,ALAMEDA COUNTY FCWD - ZONE #7 - TREATED,005,CC,Y,N,A,A,24771,24772,DISTRIBUTION SYSTEM,DST,DS,A,24772,22669,33,C
CA0110009,24774,ZONE 7 WA - TURNOUT #1 - TREATED,003,CC,Y,N,A,A,24774,24773,DISTRIBUTION SYSTEM,DST,DS,A,24773,22672,34,C
CA0110009,24775,ZONE 7 WA - TURNOUT #2 - TREATED,004,CC,Y,N,A,A,24775,24773,DISTRIBUTION SYSTEM,DST,DS,A,24773,22673,34,C
CA0110010,12687,HOPYARD WELL 09,011,WL,Y,T,A,A,12687,1392,HOPYARD WELL 09 - TREATED           XCLD,014,TP,A,1392,1364,35,C
CA0110010,1528,PATTERSON PASS WTP,008,TP,N,,A,A,1528,24777,DISTRIBUTION SYSTEM,DST,DS,A,24777,22679,35,C
CA0110010,57942,CHAIN OF LAKES WELL NO. 5,017,WL,Y,N,A,A,57996,48140,CHAIN OF LAKES CHLORAMINE FACILITY,025,TP,A,48151,24515,35,C
CA0110010,54913,LAKE DEL VALLE RESERVOIR,026,RS,Y,T,A,A,54933,24776,DEL VALLE WTP INTAKE,002,IN,A,24776,11257,35,C
CA0110010,48140,CHAIN OF LAKES CHLORAMINE FACILITY,025,TP,N,,A,A,48151,24777,DISTRIBUTION SYSTEM,DST,DS,A,24777,22674,35,C
CA0110010,24778,PATTERSON PASS WTP INTAKE,009,IN,Y,T,A,A,24778,1528,PATTERSON PASS WTP,008,TP,A,1528,8937,35,C
CA0110010,24776,DEL VALLE WTP INTAKE,002,IN,Y,T,A,A,24776,1398,DEL VALLE WTP,001,TP,A,1398,1370,35,C
CA0110010,24019,CHAIN OF LAKES WELL 02,024,WL,Y,T,A,A,24019,48140,CHAIN OF LAKES CHLORAMINE FACILITY,025,TP,A,48151,10079,35,C
CA0110010,24018,CHAIN OF LAKES WELL 01,023,WL,Y,T,A,A,24018,48140,CHAIN OF LAKES CHLORAMINE FACILITY,025,TP,A,48151,10078,35,C
CA0110010,12688,MOCHO WELL 03,012,WL,Y,T,A,A,12688,1395,MOCHO GROUNDWATER DEMINERALIZATION PLANT,020,TP,A,1395,12717,35,C
CA0110010,12681,HOPYARD WELL 06,005,WL,Y,T,A,A,12681,1397,HOPYARD WELL 06 - TREATED           XCLD,022,TP,A,1397,1369,35,C
CA0110010,12666,MOCHO WELL 04,013,WL,Y,T,A,A,12666,1395,MOCHO GROUNDWATER DEMINERALIZATION PLANT,020,TP,A,1395,12718,35,C
CA0110010,12660,MOCHO WELL 02,007,WL,Y,T,A,A,12660,1395,MOCHO GROUNDWATER DEMINERALIZATION PLANT,020,TP,A,1395,1367,35,C
CA0110010,1392,HOPYARD WELL 09 - TREATED           XCLD,014,TP,N,,A,A,1392,24777,DISTRIBUTION SYSTEM,DST,DS,A,24777,22677,35,C
CA0110010,1702,STONERIDGE WELL 01 - TREATED        XCLD,010,TP,N,,A,A,1702,24777,DISTRIBUTION SYSTEM,DST,DS,A,24777,22680,35,C
CA0110010,12659,MOCHO WELL 01,006,WL,Y,T,A,A,12659,1395,MOCHO GROUNDWATER DEMINERALIZATION PLANT,020,TP,A,1395,12716,35,C
CA0110010,1398,DEL VALLE WTP,001,TP,N,,A,A,1398,24777,DISTRIBUTION SYSTEM,DST,DS,A,24777,22675,35,C
CA0110010,1397,HOPYARD WELL 06 - TREATED           XCLD,022,TP,N,,A,A,1397,24777,DISTRIBUTION SYSTEM,DST,DS,A,24777,22676,35,C
CA0110010,1395,MOCHO GROUNDWATER DEMINERALIZATION PLANT,020,TP,N,,A,A,1395,24777,DISTRIBUTION SYSTEM,DST,DS,A,24777,22678,35,C
CA0110010,12683,STONERIDGE WELL 01,019,WL,Y,T,A,A,12683,1702,STONERIDGE WELL 01 - TREATED        XCLD,010,TP,A,1702,1747,35,C
CA0110011,24779,ALTAMONT PUMPS-ZONE 7-TREATED,002,CC,Y,N,A,A,24779,24780,DISTRIBUTION SYSTEM,DST,DS,A,24780,22681,36,C
CA0110011,24781,TREVARNO RD.-ZONE 7-TREATED,001,CC,Y,N,A,A,24781,24780,DISTRIBUTION SYSTEM,DST,DS,A,24780,22682,36,C
CA0110011,24782,VASCO-ZONE 7-TREATED,003,CC,Y,N,A,A,24782,24780,DISTRIBUTION SYSTEM,DST,DS,A,24780,22683,36,C
CA0110012,24784,SFRWS - TREATED,001,CC,Y,T,A,A,24784,24783,DISTRIBUTION SYSTEM,DST,DS,A,24783,22684,37,C
CA0110016,24789,EAST BAY MUD - PURCHASED - TREATED,001,CC,Y,N,A,A,24789,24788,DISTRIBUTION SYSTEM,DST,DS,A,24788,15551,41,C
CA0110018,12686,WELL B,005,WL,Y,T,A,A,12686,5771,PWF - TREATED,007,TP,A,5771,5949,43,C
CA0110018,12685,WELL A,004,WL,Y,T,A,A,12685,5771,PWF - TREATED,007,TP,A,5771,5948,43,C
CA0110019,1391,CHURCH WELL - TREATED               XCLD,002,TP,N,,A,A,1391,24792,DISTRIBUTION SYSTEM,DST,DS,A,24792,22685,44,NC
CA0110019,12684,CHURCH WELL,001,WL,Y,T,A,A,12684,1391,CHURCH WELL - TREATED               XCLD,002,TP,A,1391,1363,44,NC
CA0110650,1390,JONES PUMPING PLANT WTP,002,TP,N,,A,A,1390,24794,DISTRIBUTION SYSTEM,DST,DS,A,24794,22686,46,NTNC
CA0110650,24795,DELTA MENDOTA CANAL,001,IN,Y,T,A,A,24795,1390,JONES PUMPING PLANT WTP,002,TP,A,1390,1362,46,NTNC
CA0202556,35953,WELL 01,001,WL,Y,T,A,A,35956,54178,WELL - TREATED,002,TP,A,54194,14197,7590,NC
CA0210001,1786,BEAR LAKE - TREATED,004,TP,N,,A,A,1786,24806,DISTRIBUTION SYSTEM,DST,DS,A,24806,23270,56,C
CA0210001,24807,BEAR LAKE - RAW,001,IN,Y,T,A,A,24807,1786,BEAR LAKE - TREATED,004,TP,A,1786,1828,56,C
CA0210002,2471,WELL 04 AND 05 - TREATED,008,TP,N,,A,A,2471,24810,DISTRIBUTION SYSTEM,DST,DS,A,24810,18530,57,C
CA0210002,14232,WELL 02 - RAW,002,WL,Y,T,A,A,14232,2473,WELL 02 - TREATED (PH ADJ),004,TP,A,2473,2517,57,C
CA0210002,14234,WELL 04 - RAW,006,WL,Y,T,A,A,14234,2471,WELL 04 AND 05 - TREATED,008,TP,A,2471,2514,57,C
CA0210002,14243,WELL 05 - RAW,007,WL,Y,T,A,A,14243,2471,WELL 04 AND 05 - TREATED,008,TP,A,2471,2515,57,C
CA0210002,2472,WELL 03R - TREATED,009,TP,N,,A,A,2472,24810,DISTRIBUTION SYSTEM,DST,DS,A,24810,18531,57,C
CA0210002,2473,WELL 02 - TREATED (PH ADJ),004,TP,N,,A,A,2473,24810,DISTRIBUTION SYSTEM,DST,DS,A,24810,18529,57,C
CA0210002,14222,WELL 03R - RAW,005,WL,Y,T,A,A,14222,2472,WELL 03R - TREATED,009,TP,A,2472,2516,57,C
CA0210300,2470,BUCK CREEK - TREATED,002,TP,N,,A,A,2470,24813,DISTRIBUTION SYSTEM,DST,DS,A,24813,19858,59,NC
